Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000682 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000510 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000480 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000312 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000322 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000398 seconds
Method: GET, Path: /api/, View function: view, Status code: 200, Time taken: 0.004875 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.000664 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.000556 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000389 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.000422 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.001614 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000467 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000543 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000453 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000692 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000520 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.000753 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000662 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000406 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000319 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000393 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000310 seconds
Method: GET, Path: /api/, View function: view, Status code: 200, Time taken: 0.007251 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.000666 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.000593 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.000656 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000658 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.001165 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000543 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000375 seconds
